,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,altitude_mean_meters,cupper_points,color,country_code
200,84.25,Arabica,Caturra,Colombia,Natural / Dry,2015,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,0.12,442,7.83,Green,170
203,84.25,Arabica,Bourbon,Guatemala,Other,2014,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,0.1,1219.2,7.83,Green,320
204,84.25,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,0.11,1700,7.83,Green,170
206,84.25,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,0.12,1450,7.75,Green,484
207,84.25,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,0.12,1170,7.75,Green,484
208,84.25,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,0.1,1400,7.83,Bluish-Green,484
209,84.25,Arabica,Other,Uganda,Natural / Dry,2012,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,0.13,1700,7.67,Green,800
210,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,0.13,1700,7.75,Green,320
211,84.17,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,0,1200,7.75,Green,170
212,84.17,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,0.09,1700,8,Bluish-Green,188
213,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,8,7.67,7.83,10,10,10,0.11,1116.7872,7.58,Green,320
214,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,0.1,1565,7.67,Green,320
215,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,0.1,3280,7.83,Green,320
216,84.17,Arabica,Caturra,Colombia,Washed / Wet,2015,8,7.5,7.5,7.67,8,7.83,10,10,10,0,1775,7.67,Bluish-Green,170
217,84.17,Arabica,Caturra,Nicaragua,Natural / Dry,2015,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,0.12,1000,7.83,Bluish-Green,558
218,84.17,Arabica,Catuai,Brazil,Natural / Dry,2015,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,0,1150,7.75,Green,76
219,84.17,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.67,7.75,7.67,7.75,7.5,8,10,10,10,0,1850,7.83,Blue-Green,188
220,84.17,Arabica,Others,Ethiopia,Natural / Dry,2014,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,0.1,1606.5,7.75,Green,231
222,84.17,Arabica,Other,Colombia,Washed / Wet,2015,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,0.12,1530,7.5,Green,170
223,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2013,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,0.11,1200,7.83,Bluish-Green,320
224,84.17,Arabica,Others,Kenya,Washed / Wet,2013,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,0.08,250.5,7.75,Green,404
225,84.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.58,7.83,7.75,7.67,7.67,8,10,10,10,0.11,1038.5,7.67,Green,76
226,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,0.11,1310.64,7.42,Green,320
227,84.17,Arabica,Bourbon,El Salvador,Natural / Dry,2013,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,0.11,1500,7.92,Bluish-Green,222
228,84.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,0,1750,7.58,Green,170
229,84.17,Arabica,Catuai,Guatemala,Natural / Dry,2012,7.83,7.5,7.5,8,7.83,7.83,10,10,10,0.11,1200,7.67,Bluish-Green,320
230,84.17,Arabica,Other,Uganda,Washed / Wet,2012,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,0.11,1600,7.67,Green,800
231,84.13,Arabica,Others,Indonesia,Natural / Dry,2017,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,0.12,1200,7.75,Bluish-Green,360
232,84.08,Arabica,Caturra,Colombia,Washed / Wet,2018,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,0,442,7.5,Green,170
234,84.08,Arabica,Bourbon,Guatemala,Washed / Wet,2016,8,7.75,7.5,7.58,7.92,7.67,10,10,10,0.1,1200,7.67,Green,320
235,84.08,Arabica,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,0,1775,7.67,Green,170
236,84.08,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.58,7.75,7.67,8,7.75,7.67,10,10,10,0.1,1550,7.67,Bluish-Green,320
238,84.08,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,0.11,1480,7.83,Green,484
239,84.08,Arabica,Other,Ethiopia,Natural / Dry,2012,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,0.09,1800,7.92,Green,231
240,84.00,Arabica,Caturra,Costa Rica,Washed / Wet,2017,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,0.08,1200,7.67,Green,188
241,84.00,Arabica,Others,Ethiopia,Natural / Dry,2017,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,0.11,1800,7.92,Green,231
242,84.00,Arabica,Caturra,Honduras,Washed / Wet,2017,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,0.1,1500,7.75,Green,340
243,84.00,Arabica,Caturra,Guatemala,Washed / Wet,2015,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,0.12,1706.88,7.58,Green,320
244,84.00,Arabica,Other,Colombia,Washed / Wet,2015,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,0.11,1600,7.83,Green,170
245,84.00,Arabica,Bourbon,Guatemala,Natural / Dry,2014,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,0.1,1219.2,7.5,Green,320
246,84.00,Arabica,Bourbon,Guatemala,Other,2014,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,0.1,1219.2,7.83,Green,320
247,84.00,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,0.12,1480,7.83,Green,170
248,84.00,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,0.12,1450,7.67,Green,170
249,84.00,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,0.12,1775,8.33,Green,170
250,84.00,Arabica,Other,Ethiopia,Natural / Dry,2013,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,0.09,1550,7.83,Green,231
251,84.00,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2014,7.58,7.83,7.67,7.25,8,7.75,10,10,10,0.1,1260,7.92,Green,76
252,84.00,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,0.11,1700,7.67,Green,170
253,84.00,Arabica,Others,Kenya,Washed / Wet,2012,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,0,1200,7.67,Green,404
254,84.00,Arabica,Other,Thailand,Washed / Wet,2012,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,0.12,1200,8.42,Green,764
255,84.00,Arabica,Others,Kenya,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,0,1650,7.67,Bluish-Green,404
256,84.00,Arabica,Other,Uganda,Washed / Wet,2012,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,0.1,1700,7.58,Green,800
257,84.00,Arabica,Caturra,Thailand,Washed / Wet,2011,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,0.06,1200,8,Green,764
258,83.92,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,0,890,8.5,Green,76
259,83.92,Arabica,Mundo Novo,Mexico,Washed / Wet,2017,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,0.11,1300,7.83,Green,484
260,83.92,Arabica,Others,Thailand,Natural / Dry,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,0.1,1350,7.83,Bluish-Green,764
261,83.92,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,0.11,934,7.83,Green,76
263,83.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,0.11,442,7.67,Green,170
264,83.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,0,1200,7.58,Green,170
266,83.92,Arabica,Caturra,Colombia,Washed / Wet,2015,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,0,1200,7.75,Green,170
267,83.92,Arabica,Caturra,Colombia,Washed / Wet,2014,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,0,1200,7.67,Green,170
268,83.92,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,0,1775,7.58,Green,170
270,83.92,Arabica,Caturra,Colombia,Natural / Dry,2014,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,0.12,1550,7.5,Green,170
271,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,0.12,900,7.67,Blue-Green,484
272,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,0.11,1500,7.83,Green,484
273,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,0,1400,7.75,Green,484
274,83.83,Arabica,Caturra,Colombia,Washed / Wet,2017,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,0,2527,7.75,Green,170
275,83.83,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,0,1200,7.58,Green,170
276,83.83,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,0,1850,7.83,Blue-Green,188
277,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,0.11,1500,7.67,Green,320
279,83.83,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2016,7.25,7.58,7.42,8,7.75,7.83,10,10,10,0,1,8,Green,76
281,83.83,Arabica,Caturra,Ethiopia,Natural / Dry,2014,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,0.12,1676.5,7.75,Green,231
282,83.83,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2015,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,0,1200,8.08,Green,76
283,83.83,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,0.1,1300,7.67,Green,188
284,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.58,7.83,7.33,8,7.58,7.75,10,10,10,0.1,1219.2,7.75,Green,320
285,83.83,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2014,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,0.1,1260,7.75,Green,76
286,83.83,Arabica,Caturra,Ecuador,Natural / Dry,2013,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,0.09,800,7.67,Bluish-Green,218
287,83.83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,0.11,1750,7.92,Green,170
288,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,0.11,1310.64,7.67,Green,320
289,83.83,Arabica,Bourbon,Mexico,Natural / Dry,2012,7.67,8,7.67,7.42,7.67,7.5,10,10,10,0.1,1218,7.92,Green,484
290,83.83,Arabica,Others,Mexico,Natural / Dry,2012,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,0.11,1300,7.83,Green,484
291,83.83,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,0.12,1250,7.83,Green,76
292,83.83,Arabica,Caturra,Thailand,Washed / Wet,2011,7.75,7.75,7.58,8,7.67,7.58,10,10,10,0.02,1499.9208,7.5,Green,764
293,83.83,Arabica,Caturra,Thailand,Washed / Wet,2011,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,0.01,1200,7.75,Green,764
294,83.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.58,7.83,7.58,8,7.83,7.5,10,10,10,0.1,1200,7.5,Green,231
295,83.75,Arabica,Others,Kenya,Washed / Wet,2012,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,0.11,1800,7.83,Green,404
296,83.75,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,0.11,890,7.75,Green,76
297,83.75,Arabica,Caturra,Colombia,Washed / Wet,2017,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,0.11,442,7.75,Green,170
299,83.75,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,0,1200,7.67,Green,170
300,83.75,Arabica,Others,China,Washed / Wet,2015,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,0.1,1650,7.75,Green,156
301,83.75,Arabica,Caturra,Colombia,Natural / Dry,2016,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,0,442,7.75,Green,170
302,83.75,Arabica,Bourbon,Uganda,Natural / Dry,2013,8,7.92,7.58,7.75,7.33,7.5,10,10,10,0.12,1400,7.67,Green,800
304,83.75,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,0,1775,7.67,Green,170
305,83.75,Arabica,Other,Colombia,Washed / Wet,2014,7.67,7.42,7.42,7.42,8,8.33,10,10,10,0,1550,7.5,Green,170
306,83.75,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,0,1750,7.75,Blue-Green,170
307,83.75,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.67,7.75,7.58,7.42,8,10,10,10,0.11,1750,7.58,Green,170
309,83.75,Arabica,Caturra,Mexico,Natural / Dry,2012,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,0.13,700,7.83,Green,484
310,83.75,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,0.11,1300,7.75,Bluish-Green,320
311,83.75,Arabica,Caturra,Colombia,Washed / Wet,40544,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,0.1,1600,8.08,Green,170
312,83.75,Arabica,Caturra,Colombia,Washed / Wet,2010,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,0.06,1600,7.75,Green,170
314,83.67,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,0.11,890,7.83,Green,76
315,83.67,Arabica,Others,Kenya,Washed / Wet,2017,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,0.11,1700,7.75,Bluish-Green,404
316,83.67,Arabica,Caturra,Honduras,Washed / Wet,2016,7.5,7.5,7.67,7.67,8,8,10,10,10,0.1,1400,7.33,Green,340
317,83.67,Arabica,Caturra,Nicaragua,Washed / Wet,2016,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,0.1,1250,7.5,Green,558
318,83.67,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,0.11,934,7.83,Green,76
320,83.67,Arabica,Caturra,Costa Rica,Washed / Wet,2012,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,0.11,1350,8.33,Blue-Green,188
321,83.67,Arabica,Caturra,Thailand,Washed / Wet,2014,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,0.12,800,7.75,Bluish-Green,764
322,83.67,Arabica,Caturra,Colombia,Washed / Wet,2015,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,0.11,1625,7.83,Green,170
323,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2014,8,7.5,7.33,8,8,8,9.33,10,10,0.1,1356.6648,7.5,Green,320
324,83.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,0,1750,7.58,Green,170
325,83.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,0,1900,7.92,Green,170
326,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.67,7.42,7.67,8,7.75,10,10,10,0.12,1310.64,7.5,Green,320
327,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,0.11,1310.64,7.67,Green,320
328,83.67,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,0.11,1750,7.83,Green,170
329,83.67,Arabica,Caturra,Guatemala,Natural / Dry,2012,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0.11,1450,8,Green,320
330,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,0.11,1310.64,7.5,Green,320
331,83.67,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,0.12,1100,7.58,Green,484
332,83.67,Arabica,Typica,Indonesia,Washed / Wet,2012,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,0.12,1400,7.58,Green,360
333,83.67,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.67,7.5,7.33,8,7.67,7.67,10,10,10,0.1,1524,7.83,Green,320
335,83.58,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,0.11,890,7.92,Green,76
336,83.58,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,0.11,1128.3696,7.58,Green,320
337,83.58,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,0.11,1200,7.67,Green,170
338,83.58,Arabica,Others,China,Washed / Wet,2015,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,0.1,1100,7.75,Green,156
339,83.58,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,0.12,1775,7.58,Green,170
340,83.58,Arabica,Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,0.12,1200,7.75,Green,484
341,83.58,Arabica,Other,Ethiopia,Washed / Wet,2014,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,0,1850,7.75,Green,231
342,83.58,Arabica,Others,Uganda,Washed / Wet,2013,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,0.12,1800,7.67,Green,800
343,83.58,Arabica,Caturra,Colombia,Natural / Dry,2014,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,0,1600,7.67,Green,170
344,83.58,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,0.12,1550,7.67,Green,170
345,83.58,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,0,1550,7.58,Green,170
347,83.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,0.11,1775,7.67,Green,170
348,83.58,Arabica,Typica,Mexico,Washed / Wet,2012,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,0.12,1000,7.67,Green,484
349,83.58,Arabica,Caturra,Colombia,Natural / Dry,2012,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,0.11,2136,7.75,Green,170
350,83.58,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,0.12,1100,7.67,Blue-Green,76
351,83.50,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,0,1799,7.58,Bluish-Green,170
353,83.50,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,0,1850,7.83,Blue-Green,188
354,83.50,Arabica,Caturra,Colombia,Natural / Dry,2016,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,0,1000,7.58,Green,170
355,83.50,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,0.1,1219.2,7.58,Bluish-Green,320
356,83.50,Arabica,Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,0.12,1775,7.75,Green,170
358,83.50,Arabica,Others,Indonesia,Semi-washed / Semi-pulped,2015,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,0.13,1500,7.67,Bluish-Green,360
359,83.50,Arabica,Caturra,Ethiopia,Natural / Dry,2014,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,0.1,1600,7.58,Green,231
360,83.50,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,0,1200,7.67,Green,170
361,83.50,Arabica,Caturra,Colombia,Washed / Wet,2014,8,7.58,7.25,7.58,7.92,7.58,10,10,10,0.11,1850,7.58,Green,170
362,83.50,Arabica,Caturra,Guatemala,Washed / Wet,2013,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,0.1,1400,7.75,Green,320
363,83.50,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,0,1650,7.67,Green,170
364,83.50,Arabica,Caturra,Honduras,Natural / Dry,2015,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,0.1,1350,7.83,Green,340
365,83.50,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,0,1750,7.67,Green,170
366,83.50,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,0.11,1750,7.58,Green,170
367,83.50,Arabica,Bourbon,Mexico,Natural / Dry,2012,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,0.13,1170,8.42,Green,484
368,83.50,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,0.11,940,7.58,Green,484
369,83.50,Arabica,Others,Mexico,Washed / Wet,2012,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,0.12,1400,7.83,Green,484
370,83.50,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.83,7.5,7.5,8,7.67,7.5,10,10,10,0.1,1524,7.5,Green,320
371,83.50,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,0.11,1775,7.67,Green,170
372,83.50,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.5,7.5,7.75,7.5,8,7.67,10,10,10,0,1402.08,7.58,Green,320
374,83.50,Arabica,Caturra,Indonesia,Washed / Wet,40382,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,0,1600,7.58,Green,360
375,83.42,Arabica,Caturra,Colombia,Washed / Wet,2018,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,0,439,7.67,Green,170
376,83.42,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,0.1,1700,7.67,Green,320
377,83.42,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,0.11,442,7.67,Green,170
378,83.42,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,0.09,1850,7.83,Blue-Green,188
380,83.42,Arabica,Others,Uganda,Washed / Wet,2015,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,0.11,1800,7.75,Green,800
381,83.42,Arabica,Others,Thailand,Washed / Wet,2015,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,0.13,1200,7.67,Bluish-Green,764
382,83.42,Arabica,Bourbon,El Salvador,Washed / Wet,2016,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,0.11,1330,7.58,Green,222
383,83.42,Arabica,Caturra,Colombia,Natural / Dry,2015,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,0.12,442,7.67,Green,170
384,83.42,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,0.12,1200,7.75,Green,76
386,83.42,Arabica,Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,0.12,1813,7.58,Green,170
387,83.42,Arabica,Bourbon,Guatemala,Natural / Dry,2013,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,0.1,1219.2,7.5,Green,320
388,83.42,Arabica,Caturra,Guatemala,Washed / Wet,2014,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,0.1,1500,7.58,Green,320
389,83.42,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,0.11,1310.64,7.58,Green,320
391,83.42,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,0.11,1450,7.67,Green,170
392,83.42,Arabica,Caturra,Colombia,Washed / Wet,2012,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,0.1,1200,7.58,Green,170
394,83.42,Arabica,Others,Thailand,Washed / Wet,2012,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,0.11,1200,7.83,Green,764
395,83.38,Arabica,Caturra,Mexico,Washed / Wet,2012,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,0.09,1050,8,Green,484
396,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,0,1650,7.58,Green,170
397,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,0,1200,7.67,Blue-Green,170
398,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,0,1200,7.67,Green,170
399,83.33,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2016,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,0.1,1227,7.58,Green,76
400,83.33,Arabica,Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,0.12,1200,7.58,Green,484
